ID risposta,Risposto,1. In quale regione lavori?,2. Nell’ambito dell’ecosistema digitale della cultura qual è il tuo settore di appartenenza?,3. Come valuti il tuo grado di conoscenza del settore del patrimonio culturale?,4. Come valuti il tuo grado di conoscenza del settore delle tecnologie digitali?,6. La struttura del Piano è suddivisa in sezioni (Visione Strategie Linee guida) con lo scopo di agevolare la lettura e la comprensione del documento. Come valuti questa strutturazione del contenuto?,7. Come valuti il livello di chiarezza dello scopo e dei destinatari del PND?,9. Come valuti l’aspetto linguistico del PND rispetto alla natura del documento e al contesto in cui si inserisce?,10. Come valuti i termini presenti nel glossario rispetto all’obiettivo di condividere un linguaggio comune del patrimonio culturale digitale?,13. In relazione ai contenuti del capitolo “Visione” del PND strutturato in “Valori” “Obiettivi” e “Opportunità” valuta il livello di:/Efficacia,14. In relazione ai contenuti del capitolo “Visione” del PND strutturato in “Valori” “Obiettivi” e “Opportunità” valuta il livello di:/Chiarezza,15. In relazione ai contenuti del capitolo “Strategie” del PND strutturato in “Tecnologie” “Processi” e “Persone” valuta il livello di:/Efficacia ,16. In relazione ai contenuti del capitolo “Strategie” del PND strutturato in “Tecnologie” “Processi” e “Persone” valuta il livello di:/Chiarezza,17. In relazione alla "Linea guida per la digitalizzazione del patrimonio culturale" valuta il livello di:/Utilità,17. In relazione alla "Linea guida per la digitalizzazione del patrimonio culturale" valuta il livello di:/Chiarezza,17. In relazione alla "Linea guida per la digitalizzazione del patrimonio culturale" valuta il livello di:/Interesse,18. In relazione alla "Linea guida per la redazione del piano di gestione dei dati (Data management plan)" valuta il livello di:/Utilità,18. In relazione alla "Linea guida per la redazione del piano di gestione dei dati (Data management plan)" valuta il livello di:/Chiarezza,18. In relazione alla "Linea guida per la redazione del piano di gestione dei dati (Data management plan)" valuta il livello di:/Interesse,19. In relazione alla "Linea guida per l’acquisizione la circolazione e il riuso delle riproduzioni dei beni culturali in ambiente digitale" valuta il livello di:/Utilità,19. In relazione alla "Linea guida per l’acquisizione la circolazione e il riuso delle riproduzioni dei beni culturali in ambiente digitale" valuta il livello di:/Chiarezza,19. In relazione alla "Linea guida per l’acquisizione la circolazione e il riuso delle riproduzioni dei beni culturali in ambiente digitale" valuta il livello di:/Interesse,20. In relazione alla "Linea guida per la classificazione di prodotti e servizi digitali processi e modelli di gestione" valuta il livello di:/Utilità,20. In relazione alla "Linea guida per la classificazione di prodotti e servizi digitali processi e modelli di gestione" valuta il livello di:/Chiarezza,"20. In relazione alla ""Linea guida per la classificazione di prodotti e servizi digitali processi e modelli di gestione"" valuta il livello di:/Interesse ","21. In relazione alla ""Linea guida Introduzione alla metodologia per la valutazione della maturità digitale degli istituti della cultura"" valuta il livello di:/Utilità ","21. In relazione alla ""Linea guida Introduzione alla metodologia per la valutazione della maturità digitale degli istituti della cultura"" valuta il livello di:/Chiarezza ","21. In relazione alla ""Linea guida Introduzione alla metodologia per la valutazione della maturità digitale degli istituti della cultura"" valuta il livello di:/Interesse ",30. Quanto consiglieresti la lettura del PND a un’altra istituzione e/o luogo della cultura?,31. Quanto consiglieresti la lettura delle Linee guida a un’altra istituzione e/o luogo della cultura?
166126,2022-06-15 21:40:43,Lombardia,Imprese culturali e creative,Mediamente Adeguato,Mediamente Adeguato,Chiaro,Non Chiaro,Non Chiaro,Mediamente Chiari,5,5,1,1,1,1,3,1,1,3,1,1,5,1,1,3,1,1,3,5,5
166095,2022-06-15 20:59:00,Marche,Settore privato,Adeguato,Completo e organico,Chiaro,Mediamente Chiaro,Chiaro,Chiari,3,5,4,5,5,5,5,5,5,5,5,5,5,3,5,5,3,3,5,10,10
166064,2022-06-15 19:32:01,Lombardia,Imprese culturali e creative,Adeguato,Adeguato,Chiaro,Non Chiaro,Non Chiaro,Mediamente Chiari,5,5,1,1,1,1,4,1,1,4,1,1,5,1,1,3,1,1,3,5,5
166033,2022-06-15 18:52:51,Toscana,Biblioteche e mediateche,Completo e organico,Adeguato,Chiaro,Non Chiaro,Mediamente Chiaro,Chiari,2,4,3,4,2,4,2,3,4,5,5,4,5,3,3,3,3,3,3,8,8
166002,2022-06-15 18:23:45,Piemonte,Imprese culturali e creative,Adeguato,Completo e organico,Chiaro,Mediamente Chiaro,Chiaro,Chiari,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,9
165971,2022-06-15 18:21:07,Lombardia,Studio Legale - esperto di diritto dell'arte,Adeguato,Adeguato,Chiaro,Mediamente Chiaro,Chiaro,Chiari,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10
165940,2022-06-15 17:54:38,Lombardia, Volontario di Wikipedia e dei progetti Wikimedia,Adeguato,Completo e organico,Chiaro,Non Chiaro,Non Chiaro,Chiari,5,5,1,1,1,1,3,1,1,3,1,1,5,1,1,3,1,1,3,5,3
165723,2022-06-15 16:19:33,Piemonte,Direttore dell'Italian Linux Society - associazione culturale di volontariato,Adeguato,Completo e organico,Chiaro,Non Chiaro,Non Chiaro,Chiari,5,5,1,1,1,1,3,1,1,3,1,1,5,1,1,2,1,1,2,5,1
165692,2022-06-15 15:31:24,Veneto,Biblioteche e mediateche,Completo e organico,Adeguato,Chiaro,Mediamente Chiaro,Mediamente Chiaro,Mediamente Chiari,3,3,3,3,3,3,3,3,3,3,5,3,5,5,3,5,5,3,5,3,3
165661,2022-06-15 14:44:42,Lazio,Archivio più Biblioteca e mediateca,Mediamente Adeguato,Mediamente Adeguato,Mediamente Chiaro,Chiaro,Mediamente Chiaro,Mediamente Chiari,3,3,3,3,5,3,4,5,4,5,5,4,5,5,4,5,5,3,5,8,6
165630,2022-06-15 14:43:06,Campania,Musei,Adeguato,Adeguato,Chiaro,Chiaro,Chiaro,Chiari,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,10,10
165599,2022-06-15 13:53:38,Sardegna,Biblioteche e mediateche,Mediamente Adeguato,Mediamente Adeguato,Chiaro,Chiaro,Chiaro,Chiari,4,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,9,9
